Category,Text,Date,Name on file,CompanyA,CompanyB
15,"Article 4 (Limitation of Copying, etc.)
Without prior written approval of Disclosing Party, Receiving Party shall not copy or otherwise reproduce the whole or part of Confidential Information.
Copies and other reproduction of Confidential Information shall be handled in the same manner as the Confidential Information itself.",2021,Yamato,"YAMATO TRANSPORT CO., LTD.",
5,"Article 6 (Ownership of Confidential Information and No Warranty)
All Confidential Information shall belong to Disclosing Party, and unless otherwise entered into a separate written agreement between the parties, a disclosure of Confidential Information from Disclosing Party to Receiving Party shall in no way mean, whether expressed or implied, the assignment or granting of license to Receiving Party of any rights including the patent right, utility model right, design right, trademark right, copyright or any other intellectual property rights with regard to Confidential Information of Disclosing Party (hereinafter referred to as “Intellectual Property Rights”), and Disclosing Party shall reserve the Intellectual Property Rights.
All of the information disclosed by the Disclosing Party shall be provided as is, and Disclosing Party shall not warrant, whether expressed or implied, that Confidential Information reflects the fact accurately and Confidential Information does not infringe Intellectual Property Rights and any other rights of a third party.
",2021,Yamato,"YAMATO TRANSPORT CO., LTD.",
16,"Article 7 (Termination)
If Receiving Party breaches any provision of the Agreement, and such breach is not cured despite the notice of Disclosing Party specifying the considerable period, Disclosing Party may terminate the whole or part of the Agreement, provided that this does not apply if the breach is minor in light of this Agreement and the social rules of business, or if the breach is due to a reason attributable to the Disclosing Party. In such case, Disclosing Party does not lose its right to demand for damages against Receiving Party.",2021,Yamato,"YAMATO TRANSPORT CO., LTD.",
16,"Article 9 (Term of Agreement)
The Agreement shall be effective for *** (**) years from  ***, 2020.  However, technical, commercial or any other information disclosed in connection with the Study by Disclosing Party to Receiving Party prior to the effective date of the Agreement shall also be treated as Confidential Information hereunder.  The provisions of Article 3 paragraph 1, Article 3 paragraph 2, Article 5, Article 6, this Article 9 paragraph 1, Articles 11 through 15 shall survive and effect after expiration of the Agreement.
ThoughtSpot and YAMATO shall agree in writing in the event of termination of the Agreement within the term thereof specified in the preceding paragraph.",2021,Yamato,"YAMATO TRANSPORT CO., LTD.",
4,"Article 10 (Exclusion of Anti Social Forces)
Each party may immediately terminate this Agreement without any notice in cases in which the other party falls under any of the following;
an organized crime group, a member of an organized crime group, association of an organized crime group, and any other equivalent person of above (hereinafter referred to as “Anti Social Forces”);
a person having such relationship with the Anti Social Forces that shows the Anti Social Forces' substantial involvement in the person's management or having a close relationship;
a person concludes this Agreement by allowing Anti Social Forces to utilize his/her name 
a person who themselves or through the use of third parties uses intimidating words or actions; or
a person who themselves or through the use of third parties damages the credit or obstructs the business of the other party by force or by the use of fraudulent.
In cases in which each party terminates this Agreement pursuant to the provision of the preceding paragraph, the party shall not be obligated to compensate the other party for the damages arising as a result thereof.",2021,Yamato,"YAMATO TRANSPORT CO., LTD.",
13,"Article 11 (Return of Confidential Information, etc.)
When requested by Disclosing Party to return Confidential Information or the Agreement is terminated for any reason whatsoever, Receiving Party shall stop the use of any and all Confidential Information (including its copies, etc.) held by Receiving Party or Entrusted Party and according to the instructions of Disclosing Party, return Confidential Information to Disclosing Party or dispose of it within the period specified by Disclosing Party.  Confidential Information kept electronically or in any other intangible formats shall also be erased completely.",2021,Yamato,"YAMATO TRANSPORT CO., LTD.",
7,"Article 14 (Governing Law)
The Agreement shall be governed by and construed in accordance with the laws of Japan.",2021,Yamato,"YAMATO TRANSPORT CO., LTD.",
4,"Article 10 (Exclusion of Anti Social Forces)
Each party may immediately terminate this Agreement without any notice in cases in which the other party falls under any of the following;
an organized crime group, a member of an organized crime group, association of an organized crime group, and any other equivalent person of above (hereinafter referred to as “Anti Social Forces”);
a person having such relationship with the Anti Social Forces that shows the Anti Social Forces' substantial involvement in the person's management or having a close relationship;
a person concludes this Agreement by allowing Anti Social Forces to utilize his/her name 
a person who themselves or through the use of third parties uses intimidating words or actions; or
a person who themselves or through the use of third parties damages the credit or obstructs the business of the other party by force or by the use of fraudulent.
In cases in which each party terminates this Agreement pursuant to the provision of the preceding paragraph, the party shall not be obligated to compensate the other party for the damages arising as a result thereof.",,,"YAMATO TRANSPORT CO., LTD.",
5,"Article 6 (Ownership of Confidential Information and No Warranty)
All Confidential Information shall belong to Disclosing Party, and unless otherwise entered into a separate written agreement between the parties, a disclosure of Confidential Information from Disclosing Party to Receiving Party shall in no way mean, whether expressed or implied, the assignment or granting of license to Receiving Party of any rights including the patent right, utility model right, design right, trademark right, copyright or any other intellectual property rights with regard to Confidential Information of Disclosing Party (hereinafter referred to as “Intellectual Property Rights”), and Disclosing Party shall reserve the Intellectual Property Rights.
All of the information disclosed by the Disclosing Party shall be provided as is, and Disclosing Party shall not warrant, whether expressed or implied, that Confidential Information reflects the fact accurately and Confidential Information does not infringe Intellectual Property Rights and any other rights of a third party.
",,,"YAMATO TRANSPORT CO., LTD.",
7,"Article 14 (Governing Law)
The Agreement shall be governed by and construed in accordance with the laws of Japan.
",,,"YAMATO TRANSPORT CO., LTD.",
13,"Article 11 (Return of Confidential Information, etc.)
When requested by Disclosing Party to return Confidential Information or the Agreement is terminated for any reason whatsoever, Receiving Party shall stop the use of any and all Confidential Information (including its copies, etc.) held by Receiving Party or Entrusted Party and according to the instructions of Disclosing Party, return Confidential Information to Disclosing Party or dispose of it within the period specified by Disclosing Party.  Confidential Information kept electronically or in any other intangible formats shall also be erased completely.",,,"YAMATO TRANSPORT CO., LTD.",
16,"Article 9 (Term of Agreement)
The Agreement shall be effective for *** (**) years from  ***, 2020.  However, technical, commercial or any other information disclosed in connection with the Study by Disclosing Party to Receiving Party prior to the effective date of the Agreement shall also be treated as Confidential Information hereunder.  The provisions of Article 3 paragraph 1, Article 3 paragraph 2, Article 5, Article 6, this Article 9 paragraph 1, Articles 11 through 15 shall survive and effect after expiration of the Agreement.
ThoughtSpot********** and YAMATO shall agree in writing in the event of termination of the Agreement within the term thereof specified in the preceding paragraph.",,,"YAMATO TRANSPORT CO., LTD.",
1,"1.                Definition.  “Confidential Information” means all information disclosed by either party, directly or indirectly, both specifically related to the Purpose, as well as all other proprietary and/or non-public information related to the past, present and future business activities of that party, its subsidiaries and affiliates or their respective employees or third party contractors, including, but not limited to, any information relating to trade secrets, strategic and other plans, pricing, methods, methodologies, processes, financial data, lists, inventions, donor or sponsorship-related information, apparatus, statistics, programs, research, development, information technology, network designs, usage data, the plans and specifications of any product or service that is designed or modified for the party to which it pertains, the terms and existence of this Agreement or related information, and any and all past, present and future agreements and/or business arrangements that have been, are, or are anticipated to be entered into by the parties.  This Agreement applies to any Confidential Information disclosed to either party prior to or as of the parties’ execution of this Agreement.
",4/13/2022,Wolrd Vision,World Vision International,"ThoughtSpot, Inc."
2,"Obligations. Each party agrees to regard and preserve as confidential, all Confidential Information of the other party. In maintaining the confidentiality of Confidential Information hereunder, each party agrees that it shall not disclose or make available to any person, firm or enterprise, reproduce or transmit, or use for its own benefit or the benefit of others, any such Confidential Information. Each party shall only use the Confidential Information in order to perform its services to the other party. Each party agrees that its use of the Confidential Information shall be limited to its employees only on a “need to know” basis.",4/13/2022,Wolrd Vision,World Vision International,"ThoughtSpot, Inc."
13,"Return of Confidential Information. At any time upon the request of the disclosing party, and in the event of termination of this Agreement, the receiving party shall return, or destroy if so directed by the disclosing party, all Confidential Information of the disclosing party, including all copies thereof and notes and other materials incorporating such Confidential Information, whether in physical or electronic form. The term of this Agreement will be three (3) months from the date of the last signature hereto.",4/13/2022,Wolrd Vision,World Vision International,"ThoughtSpot, Inc."
12,"Indemnification. In addition to its other obligations hereunder, the receiving party will defend, indemnify and hold harmless the disclosing party, its subsidiaries and affiliates and their respective successors, assigns, officers, directors and employees from damage, loss, liability, costs and expenses of any kind (including reasonable attorneys’ fees) from a negligent breach of the receiving party’s confidentiality obligations regarding any disclosed information hereunder.",4/13/2022,Wolrd Vision,World Vision International,"ThoughtSpot, Inc."
7,"Governing law; Arbitration. This Agreement shall be governed by the substantive law of the State of California. Unless otherwise agreed by the parties hereto, any controversy or claim arising out of or relating to this Agreement which remains unresolved after negotiation shall be settled by binding arbitration before the American Arbitration Association, according to its rules. The arbitration shall be conducted in the vicinity of Los Angeles, California and shall be conducted in the English language. Judgment upon the award rendered by the arbitrator(s) may be entered in any court having jurisdiction thereof.",4/13/2022,Wolrd Vision,World Vision International,"ThoughtSpot, Inc."
2,"Obligations. Each party agrees to regard and preserve as confidential, all Confidential Information of the other party. In maintaining the confidentiality of Confidential Information hereunder, each party agrees that it shall not disclose or make available to any person, firm or enterprise, reproduce or transmit, or use for its own benefit or the benefit of others, any such Confidential Information. Each party shall only use the Confidential Information in order to perform its services to the other party. Each party agrees that its use of the Confidential Information shall be limited to its employees only on a “need to know” basis.",4/13/2022,Wolrd Vision,World Vision International,"ThoughtSpot, Inc."
7,"10.        Governing law; Arbitration.  This Agreement shall be governed by the substantive law of the State of California. Unless otherwise agreed by the parties hereto, any controversy or claim arising out of or relating to this Agreement which remains unresolved after negotiation shall be settled by binding arbitration before the American Arbitration Association, according to its rules.  The arbitration shall be conducted in the vicinity of Los Angeles, California and shall be conducted in the English language.  Judgment upon the award rendered by the arbitrator(s) may be entered in any court having jurisdiction thereof. 
",4/13/2022,Wolrd Vision,World Vision International,"ThoughtSpot, Inc."
12,"6.        Indemnification.  In addition to its other obligations hereunder, the receiving party will defend, indemnify and hold harmless the disclosing party, its subsidiaries and affiliates and their respective successors, assigns, officers, directors and employees from damage, loss, liability, costs and expenses of any kind (including reasonable attorneys’ fees) from a negligent breach of the receiving party’s confidentiality obligations regarding any disclosed information hereunder.   
",4/13/2022,Wolrd Vision,World Vision International,"ThoughtSpot, Inc."
13,"Return of Confidential Information. At any time upon the request of the disclosing party, and in the event of termination of this Agreement, the receiving party shall return, or destroy if so directed by the disclosing party, all Confidential Information of the disclosing party, including all copies thereof and notes and other materials incorporating such Confidential Information, whether in physical or electronic form. The term of this Agreement will be three (3) months from the date of the last signature hereto.",4/13/2022,Wolrd Vision,World Vision International,"ThoughtSpot, Inc."
2,"Obligations of Confidentiality.  The Receiving Party agrees:
to hold the Disclosing Party’s Confidential Information in confidence and to take reasonable precautions to protect such Confidential Information (including, without limitation, all precautions the Receiving Party employs with respect to its own confidential materials of a similar nature), 
that it shall disclose the Disclosing Party’s Confidential Information only to those of its (and its affiliated entities’) officers, directors, agents, employees, contractors, consultants and financial and legal advisors (collectively “Representatives”) who have a need to know such Confidential Information in connection with the Receiving Party’s evaluation of the Project and not to divulge any such Confidential Information or any information derived therefrom to any third person, 
not to make any use whatsoever at any time of such Confidential Information except to evaluate internally its relationship with the Disclosing Party, 
not to create derivative works of or reverse engineer any such Confidential Information, 
to ensure that its Representatives who have access to the Disclosing Party’s Confidential Information have signed confidentiality agreements, or are otherwise bound by confidentiality obligations, at least as restrictive as those contained herein prior to any disclosure of such Confidential Information to such Representatives, 
not to export or re-export (except in compliance with applicable export control laws or regulations) any such Confidential Information, and 
it shall be responsible for compliance with this Agreement its Representatives and affiliated entities to which it discloses the Disclosing Party’s Confidential Information. 
",12/20/2019,WorkDay,"Workday, Inc.","ThoughtSpot, Inc."
4,"Exclusions.  Without granting any right or license, the Disclosing Party agrees that the foregoing shall not apply to any information that the Receiving Party can document:
 is or becomes (through no improper action or inaction by the Receiving Party or any of its Representatives) generally available to the public, or 
was rightfully in its possession or known by it without confidentiality restriction prior to receipt from the Disclosing Party, or 
was rightfully disclosed to it by a third party without confidentiality restriction, or 
was independently developed without use of any Confidential Information of the Disclosing Party. 
",12/20/2019,WorkDay,"Workday, Inc.","ThoughtSpot, Inc."
2,"No Grant of Right.  Nothing in this Agreement is intended to grant any rights in or to the other party’s Confidential Information, except as expressly set forth herein. The Receiving Party understands that nothing herein (i) requires the disclosure of any Confidential Information of the Disclosing Party or (ii) requires the Disclosing Party to proceed with any transaction or relationship.",12/20/2019,WorkDay,"Workday, Inc.","ThoughtSpot, Inc."
6,"No Representations or Warranties.  Each party understands and acknowledges that the Confidential Information is being provided on an “as is” basis, without any representation or warranty, express or implied, as to the accuracy or completeness of the Confidential Information on the part of the Disclosing Party.  ",12/20/2019,WorkDay,"Workday, Inc.","ThoughtSpot, Inc."
7,"Governing Law.  This Agreement shall be governed by the laws of the State of New York without regard to the conflicts of law provisions thereof. 
",12/20/2019,WorkDay,"Workday, Inc.","ThoughtSpot, Inc."
8,"Remedies.  The Receiving Party acknowledges and agrees that due to the unique nature of the Disclosing Party’s Confidential Information, there can be no adequate remedy at law for any breach of its obligations hereunder, which breach may result in irreparable harm to the Disclosing Party and, therefore, that upon any such breach or any threat thereof, the Disclosing Party shall be entitled to seek injunctive relief and appropriate equitable relief (without the requirement of posting a bond) in addition to whatever remedies it might have at law. ",12/20/2019,WorkDay,"Workday, Inc.","ThoughtSpot, Inc."
16,"Term and Termination.  This Agreement commences on the Effective Date and shall continue for five (5) years or until terminated by either party upon thirty (30) days’ prior written notice to the other party’s legal department at the address set forth herein.  Notwithstanding any termination, the rights and obligations herein relating to Confidential Information disclosed prior to termination will survive any termination. 
",12/20/2019,WorkDay,"Workday, Inc.","ThoughtSpot, Inc."
1,"Definition of Confidential Information. “Confidential Information” means all information disclosed by one party (the “Disclosing Party”) to the other (the “Receiving Party”), including, but not limited to, that which relates to patents, patent applications, research, product plans, products, developments, inventions, processes, designs, drawings, engineering, formulae, markets, software (including source and object code), hardware configuration, computer programs, algorithms, business plans, agreements with third parties, services, customers, marketing or finances, whether in oral, written, graphic or electronic form, which would, under the circumstances, appear to a reasonable person to be confidential or proprietary, or is designated as confidential or proprietary.",,Workato,"Workato, Inc.",
14,"Purpose. The Company and Counterparty wish to explore a possible business opportunity of mutual interest (the “Relationship”). In connection with the Relationship, each party has disclosed and/or may disclose its Confidential Information (as defined below) to the other. This Agreement is intended to allow the parties to discuss and evaluate the Relationship while protecting each party’s Confidential Information (as defined below) against unauthorized use or disclosure.",,Workato,"Workato, Inc.",
2,"Nondisclosure of Confidential Information
(a) Use. The Company and Counterparty each agree not to use any Confidential Information for any purpose other than for the Purpose in Section 1 and to maintain all Confidential Information in trust and confidence. Each party may only disclose or permit disclosure of any Confidential Information to their directors, officers, and employees (“Representatives”) who are reasonably required to have the information with regards to the Relationship, and are bound by the confidentiality obligations substantially similar to these. Each party agrees that it will take all reasonable precautions to prevent the disclosure or use of Confidential Information other than as authorized in this Agreement. Those precautions must be at least as effective as those taken by the Receiving Party to protect its own Confidential Information of a similar nature or those that would be taken by a reasonable person in the position of the Receiving Party, whichever are more effective. Each party agrees to promptly notify the other in writing of any actual or suspected misuse, misappropriation or unauthorized disclosure of Confidential Information. The Receiving Party will be liable for any violations of this Agreement by its Representatives to the same extent that it would have been had it violated this Agreement itself.
(c) Disclosure. Notwithstanding Section 3(a), Confidential Information may be disclosed (i) with the prior written approval of the Disclosing Party; or (ii) an order or requirement of a court,arbiter or governmental body (each, an “Order”) provided that the Receiving Party shall provide prompt notice of the Order to the Disclosing Party prior to disclosure and reasonably assists in obtaining a protective order (if legally permissible). In the event there is no protective order obtained, the Receiving Party shall furnish only that portion of the Confidential Information that is required by the Order and will use commercially reasonable efforts to ensure that confidential treatment is afforded to the disclosed portion.",,Workato,"Workato, Inc.",
4,"(b) Exceptions. Notwithstanding the above, Confidential Information will not include information that: (i) was in the public domain at the time it was disclosed or entered the public domain through no fault of the Receiving Party or its Representatives; (ii) was already known, or becomes known, to the Receiving Party or its Representatives without restriction, as the result of disclosure by a third party without breaching its confidential obligations; or (iii) was independently developed by the Receiving Party or its Representatives without any use of or reference to the Confidential Information, as demonstrated by documentary evidence at the time of such independent development.",,Workato,"Workato, Inc.",
5,"Ownership of Materials/No Warranty

Disclosing Party retains all rights, title and interest to its Confidential Information.  No license under any trademark, patent or copyright, or application for same which are now or thereafter may be obtained by Disclosing Party is either granted or implied by the disclosure of Confidential Information.  Confidential Information is provided “as is” with all faults.  In no event shall Disclosing Party be liable for the accuracy or completeness of the Confidential Information.
",,Workato,"Workato, Inc.",
6,"No Rights Granted and No Warranty. Nothing in this Agreement will be construed as granting any rights under any patent, copyright or other intellectual property right of either party, nor will this Agreement grant either party any rights in or to the other party’s Confidential Information other than the limited right to review such Confidential Information solely for the purpose of determining whether to enter into the Relationship. The Receiving Party acknowledges that the Confidential Information is provided as-is and it has not relied on, and will not be relying on the accuracy of any Confidential Information. The Disclosing Party shall not have any liability to the Receiving Party relating to or resulting from the use of any Confidential Information or any inaccuracies or errors.",,Workato,"Workato, Inc.",
7,"Governing Law and Venue. This Agreement will be governed by the laws of the State of California without giving effect to principles of conflicts of law. The parties agree that any action in relation to this Agreement, whether under federal or state law, will be brought in Santa Clara County, California.",,Workato,"Workato, Inc.",
8,"Remedies. The Company and Counterparty each agree that the obligations in this Agreement are necessary and reasonable in order to protect the Disclosing Party. The Company and Counterparty each expressly agree that monetary damages may be inadequate to compensate the Disclosing Party for any breach of this Agreement. Accordingly, the Company and Counterparty each agree and acknowledge that any such violation or threatened violation will cause irreparable harm to the Disclosing Party and the Disclosing Party will be entitled to seek injunctive relief against the threatened breach of this Agreement or the continuation of any such breach by the Receiving Party, without the necessity of proving actual damages, in addition to any other remedies available.",,Workato,"Workato, Inc.",
13,"Return or Destroy. All the Confidential Information within any copies and records, will be
promptly returned or destroyed by the Receiving Party, at the Disclosing Party’s discretion and
upon its written request (including any written notice of termination of the Relationship by either
party). Notwithstanding anything to the contrary, the Receiving Party will not be obligated to erase
Confidential Information contained in an archived computer system backup made in accordance
with reasonable disaster recovery procedures, provided that such archived copy will remain subject
to these obligations.",,Workato,"Workato, Inc.",
14,"Purpose. The Company and Counterparty wish to explore a possible business opportunity of mutual interest (the “Relationship”). In connection with the Relationship, each party has disclosed
and/or may disclose its Confidential Information (as defined below) to the other. This Agreement
is intended to allow the parties to discuss and evaluate the Relationship while protecting each
party’s Confidential Information (as defined below) against unauthorized use or disclosure.",,Workato,"Workato, Inc.",
16,"Term. The foregoing commitments of the Receiving Party shall survive any termination of
the Relationship between the parties, and will continue to the later of (a) 5 years following the date
of this Agreement or (b) 3 years from the date on which Confidential Information is last disclosed,
provided that information labeled as trade secret will be protected indefinitely in accordance with
this Agreement so long as it remain as trade secret under applicable law.",,Workato,"Workato, Inc.",
